periode,emissions_Mt,total,part_Nord,part_Sud,hemisphere,emissions_Mt_hemisphere,source,unité,couleur
1880-1920,611947.5516811324,304049.86892456876,99.49681163808278,0.5031883619172355,Nord,302519.9253697157,CO2_by_hemisphere,Mt CO₂,#d7191c
1921-1950,887034.2458980744,436281.9941321305,99.09287269071598,0.9071273092840125,Nord,432324.3610178691,CO2_by_hemisphere,Mt CO₂,#d7191c
1951-1976,2020214.34319396,990257.0410019313,98.61644373867188,1.3835562613281271,Nord,976556.2777079064,CO2_by_hemisphere,Mt CO₂,#d7191c
1977-2000,3512176.432635702,1705719.1583730038,98.02380615451699,1.976193845483009,Nord,1672010.841344012,CO2_by_hemisphere,Mt CO₂,#d7191c
2001-2024,5188128.924623215,2506753.797459673,97.66758763508123,2.3324123649187722,Nord,2448285.961929653,CO2_by_hemisphere,Mt CO₂,#d7191c
1880-1920,611947.5516811324,304049.86892456876,99.49681163808278,0.5031883619172355,Sud,1529.9435548530391,CO2_by_hemisphere,Mt CO₂,#2c7bb6
1921-1950,887034.2458980744,436281.9941321305,99.09287269071598,0.9071273092840125,Sud,3957.633114261429,CO2_by_hemisphere,Mt CO₂,#2c7bb6
1951-1976,2020214.34319396,990257.0410019313,98.61644373867188,1.3835562613281271,Sud,13700.763294024859,CO2_by_hemisphere,Mt CO₂,#2c7bb6
1977-2000,3512176.432635702,1705719.1583730038,98.02380615451699,1.976193845483009,Sud,33708.31702899188,CO2_by_hemisphere,Mt CO₂,#2c7bb6
2001-2024,5188128.924623215,2506753.797459673,97.66758763508123,2.3324123649187722,Sud,58467.8355300203,CO2_by_hemisphere,Mt CO₂,#2c7bb6
